iter	Passed	Remaining
856	25877	4317
857	25879	4283
858	25880	4248
859	25881	4213
860	25882	4178
861	25884	4143
862	25896	4110
863	25932	4081
864	25941	4048
865	25942	4014
866	26029	3993
867	26054	3962
868	26084	3932
869	26121	3903
870	26177	3877
871	26180	3843
872	26189	3809
873	26270	3787
874	26284	3754
875	26337	3728
876	26340	3694
877	26372	3664
878	26419	3636
879	26487	3611
880	26490	3578
881	26498	3545
5
884	25649	3333
885	25654	3300
887	25580	3226
888	25588	3194
889	25601	3164
890	25609	3132
890	25825	3159
891	25954	3142
892	25956	3110
893	25958	3077
894	25987	3048
895	26022	3020
896	26025	2988
897	26027	2956
898	26029	2924
899	26085	2898
900	26093	2867
901	26184	2844
902	26187	2813
903	26190	2781
904	26228	2753
905	26258	2724
907	26145	2649
908	26149	2617
909	26153	2586
910	26231	2562
911	26234	2531
912	26269	2503
913	26274	2472
914	26301	2443
915	26304	2412
916	26312	2381
917	26374	2355
918	26376	2324
919	26378	2293
920	26381	2262
921	26382	2231
922	26383	2201
923	26385	2170
924	26387	2139
925	26389	2108
925	26606	2126
926	26608	2095
927	26643	2067
929	26436	1989
930	26439	1959
931	26449	1929
932	26455	1899
32	26048	1870
933	26119	1845
934	26120	1815
935	26236	1793
936	26270	1766
937	26329	1740
938	26334	1710
939	26571	1696
940	26575	1666
941	26585	1636
942	26587	1607
943	26642	1580
944	26644	1550
945	26645	1521
946	26646	1491
947	26648	1461
948	26649	1432
949	26651	1402
950	26652	1373
951	26654	1343
950	974	26415	6951975	26500	651
976	26503	623
977	26506	596
978	26507	568
979	26568	542
980	26578	514
981	26584	487
164
958	26595	1137
959	26597	1108
960	26598	1079
974	858
968	26018	832
969	26022	804
970	26081	778
971	26120	752
972	26122	724
973	26186	699
974	26189	671
975	26190	644
976	26192	616
977	26200	589
978	26203	562
979	26210	534
980	26212	507
981	26284	481
982	26288	454
983	26294	427
984	26306	400
985	26333	373
986	26334	346
987	26336	319
988	26338	292
989	26340	266
990	26341	239
991	26343	212
992	26347	185
993	26365	159
994	26419	132
995	26423	106
996	26444	79
997	26458	53
998	26531	26
999	26559	0
